index,ID,FILE,AUTHOR,TECHNIQUE,FORM,TYPE,SCHOOL,TIMELINE
15031,15032,15032.jpg,-,Tempera and gold on wood,painting,religious,Italian,1351-1400
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
23156,23157,23157.jpg,"MANTEGNA, Andrea",Walnut oil on plaster,painting,historical,Italian,1451-1500
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
39166,39167,39167.jpg,UGOLINO DI NERIO,Egg tempera on wood,painting,religious,Italian,1301-1350
8477,8478,8478.jpg,CIMABUE,Egg tempera on wood,painting,religious,Italian,1251-1300
28370,28371,28371.jpg,-,Photo,painting,interior,Italian,1701-1750
21737,21738,21738.jpg,"LIPPI, Fra Filippo",Tempera and gold on wood,painting,religious,Italian,1401-1450
40086,40087,40087.jpg,"UNKNOWN MASTER, Italian",Painted wood,painting,religious,Italian,1251-1300
2321,2322,2322.jpg,"ARCIMBOLDO, Giuseppe",-,graphics,study,Italian,1551-1600
23205,23206,23206.jpg,"MANTEGNA, Andrea",Tempera on canvas,painting,religious,Italian,1451-1500
23127,23128,23128.jpg,"MANTEGNA, Andrea",Walnut oil on plaster,painting,historical,Italian,1451-1500
40083,40084,40084.jpg,"UNKNOWN MASTER, Italian",Tempera on panel,painting,religious,Italian,1251-1300
17858,17859,17859.jpg,-,Watercolour,graphics,religious,Italian,1551-1600
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
15941,15942,15942.jpg,-,Painted wood,painting,religious,Italian,1301-1350
21138,21139,21139.jpg,LEONARDO da Vinci,Pen and ink on paper,graphics,study,Italian,1451-1500
21260,21261,21261.jpg,LEONARDO da Vinci,Manuscript,graphics,study,Italian,1451-1500
41754,41755,41755.jpg,"VERROCCHIO, Andrea del",Gilded bronze,painting,portrait,Italian,1451-1500
40127,40128,40128.jpg,"UNKNOWN MASTER, Italian",Tempera and gold on wood,painting,religious,Italian,1301-1350
24059,24060,24060.jpg,-,Tempera and gold on panel,painting,religious,Italian,1401-1450
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
3464,3465,3465.jpg,"BELLINI, Gentile",Tempera on poplar panel,painting,portrait,Italian,1451-1500
23161,23162,23162.jpg,"MANTEGNA, Andrea",Walnut oil on plaster,painting,historical,Italian,1451-1500
17847,17848,17848.jpg,-,Panel,painting,religious,Italian,1251-1300
18273,18274,18274.jpg,GUIDO DA SIENA,Tempera on wood,painting,religious,Italian,1251-1300
28370,28371,28371.jpg,-,Photo,painting,interior,Italian,1701-1750
23160,23161,23161.jpg,"MANTEGNA, Andrea",Walnut oil on plaster,painting,historical,Italian,1451-1500
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
14082,14083,14083.jpg,"GADDI, Taddeo",Panel,painting,religious,Italian,1301-1350
39159,39160,39160.jpg,UGOLINO DI NERIO,Tempera and gold on wood,painting,religious,Italian,1301-1350
12988,12989,12989.jpg,-,Photo,painting,interior,Italian,1601-1650
34099,34100,34100.jpg,"ROSSELLINO, Antonio",-,painting,interior,Italian,1451-1500
40127,40128,40128.jpg,"UNKNOWN MASTER, Italian",Tempera and gold on wood,painting,religious,Italian,1301-1350
21298,21299,21299.jpg,-,Gilded bronze,painting,religious,Italian,1551-1600
24804,24805,24805.jpg,"MEDIEVAL SCULPTOR, Italian",Marble,painting,religious,Italian,1251-1300
6787,6788,6788.jpg,CANALETTO,Oil on canvas,painting,landscape,Italian,1701-1750
17498,17499,17499.jpg,"GRASSI, Giovannino de'",Manuscript ,graphics,study,Italian,1351-1400
37877,37878,37878.jpg,"TIEPOLO, Giovanni Domenico",Detached fresco,painting,genre,Italian,1751-1800
24053,24054,24054.jpg,MASTER of the Castello della Manta,Fresco,painting,mythological,Italian,1401-1450
37881,37882,37882.jpg,"TIEPOLO, Giovanni Domenico",Detached fresco,painting,genre,Italian,1751-1800
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
16027,16028,16028.jpg,GIOVANNI DI PAOLO,Painted wood,painting,mythological,Italian,1451-1500
33893,33894,33894.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0851-0900
23357,23358,23358.jpg,-,Oil on canvas,painting,still-life,Italian,1601-1650
3301,3302,3302.jpg,"BEAUMONT, Claudio Francesco",Fresco,painting,mythological,Italian,1701-1750
33887,33888,33888.jpg,"ROMANESQUE PAINTER, Italian",Fresco,painting,religious,Italian,0801-0850
40833,40834,40834.jpg,"VASARI, Giorgio",Fresco,painting,interior,Italian,1551-1600
37634,37635,37635.jpg,"TIEPOLO, Giovanni Battista",Fresco,painting,mythological,Italian,1701-1750
750,751,751.jpg,"ANGELICO, Fra",Tempera and gold on panel,painting,religious,Italian,1401-1450
21260,21261,21261.jpg,LEONARDO da Vinci,Manuscript,graphics,study,Italian,1451-1500
40086,40087,40087.jpg,"UNKNOWN MASTER, Italian",Painted wood,painting,religious,Italian,1251-1300
18673,18674,18674.jpg,"HAYEZ, Francesco",Detached fresco,painting,mythological,Italian,1801-1850
25981,25982,25982.jpg,MICHELANGELO Buonarroti,Pen and ink on paper,graphics,study,Italian,1501-1550
