ID,FILE,AUTHOR,TECHNIQUE,FORM,TYPE,SCHOOL,TIMELINE
1,1.jpg,-,Oil on copper,painting,mythological,German,1601-1650
2,2.jpg,-,Oil on canvas,painting,mythological,German,1601-1650
3,3.jpg,-,-,painting,genre,German,1601-1650
4,4.jpg,-,Oil on canvas,painting,portrait,German,1601-1650
5,5.jpg,-,Oil on canvas,painting,portrait,German,1601-1650
6,6.jpg,-,Oil on canvas,painting,landscape,Danish,1851-1900
7,7.jpg,-,Oil on canvas,painting,landscape,Danish,1851-1900
8,8.jpg,-,Wood,painting,religious,Spanish,1451-1500
13,13.jpg,-,-,painting,other,Italian,1501-1550
15,15.jpg,-,Oil on canvas,painting,landscape,Italian,1501-1550
16,16.jpg,-,Oil on canvas,painting,mythological,Italian,1501-1550
17,17.jpg,-,Oil on canvas,painting,mythological,Italian,1501-1550
18,18.jpg,-,Oil on canvas,painting,mythological,Italian,1501-1550
19,19.jpg,-,Oil on panel,painting,landscape,Italian,1851-1900
20,20.jpg,-,Oil on canvas,painting,landscape,Italian,1851-1900
21,21.jpg,-,Oil on cardboard,painting,landscape,Italian,1851-1900
22,22.jpg,-,Oil on panel,painting,portrait,Italian,1851-1900
23,23.jpg,-,Oil on canvas,painting,religious,Italian,1601-1650
27,27.jpg,-,Oil on canvas,painting,other,Danish,1751-1800
28,28.jpg,-,Engraving,graphics,religious,Danish,1751-1800
30,30.jpg,-,Oil on canvas,painting,landscape,German,1851-1900
31,31.jpg,-,-,painting,historical,German,1801-1850
32,32.jpg,-,Oil on canvas,painting,genre,German,1801-1850
36,36.jpg,-,Drawing,graphics,portrait,French,1701-1750
51,51.jpg,"ADEMOLLO, Luigi",Fresco,painting,religious,Italian,1801-1850
52,52.jpg,"ADEMOLLO, Luigi",Fresco,painting,interior,Italian,1801-1850
53,53.jpg,"ADEMOLLO, Luigi",Fresco,painting,religious,Italian,1801-1850
54,54.jpg,"ADEMOLLO, Luigi",Fresco,painting,religious,Italian,1801-1850
55,55.jpg,"ADEMOLLO, Luigi",Fresco,painting,interior,Italian,1801-1850
56,56.jpg,"ADEMOLLO, Luigi",Fresco,painting,historical,Italian,1801-1850
57,57.jpg,"ADEMOLLO, Luigi",Fresco,painting,historical,Italian,1801-1850
58,58.jpg,"ADEMOLLO, Luigi",Fresco,painting,historical,Italian,1801-1850
59,59.jpg,"ADEMOLLO, Luigi",Fresco,painting,historical,Italian,1801-1850
60,60.jpg,"ADEMOLLO, Luigi",Fresco,painting,historical,Italian,1801-1850
61,61.jpg,"ADEMOLLO, Luigi",Fresco,painting,historical,Italian,1801-1850
62,62.jpg,-,Oil on canvas,painting,portrait,German,1651-1700
64,64.jpg,-,Oil on canvas,painting,still-life,Flemish,1601-1650
65,65.jpg,-,Oil on oak panel,painting,still-life,Flemish,1601-1650
66,66.jpg,-,Oil on panel,painting,still-life,Flemish,1601-1650
67,67.jpg,-,Oil on panel,painting,still-life,Flemish,1601-1650
68,68.jpg,-,Oil on oak panel,painting,still-life,Flemish,1601-1650
75,75.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
76,76.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
77,77.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
78,78.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
79,79.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
80,80.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
81,81.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
82,82.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
83,83.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
84,84.jpg,"AELST, Willem van",Oil on panel,painting,still-life,Dutch,1651-1700
85,85.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
86,86.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
87,87.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
88,88.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
89,89.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
90,90.jpg,"AELST, Willem van",Oil on panel,painting,still-life,Dutch,1651-1700
91,91.jpg,"AELST, Willem van",Oil on copper,painting,still-life,Dutch,1651-1700
92,92.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
93,93.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
94,94.jpg,"AELST, Willem van",Oil on canvas,painting,still-life,Dutch,1651-1700
